STAN,CZAS_POSIADANIA,KOD_OBSZARU,NR_TEL,PLAN_MIEDZY,POCZTA_G,L_WIAD_POCZTA_G,DZIEN_MIN,DZIEN_L_POL,DZIEN_OPLATA,WIECZOR_MIN,WIECZ_L_POL,WIECZ_OPLATA,NOC_MIN,NOC_L_POL,NOC_OPLATA,MIEDZY_MIN,MIEDZY_L_POL,MIEDZY_OPLATA,L_POL_BIURO,REZYGN
KS,128,415,382-4657,0,1,25,265.10,110,45.07,197.40,99,16.78,244.70,91,11.01,10.00,3,2.70,1,0
OH,107,415,371-7191,0,1,26,161.60,123,27.47,195.50,103,16.62,254.40,103,11.45,13.70,3,3.70,1,0
NJ,137,415,358-1921,0,0,0,243.40,114,41.38,121.20,110,10.30,162.60,104,7.32,12.20,5,3.29,0,0
OH,84,408,375-9999,1,0,0,299.40,71,50.90,61.90,88,5.26,196.90,89,8.86,6.60,7,1.78,2,0
OK,75,415,330-6626,1,0,0,166.70,113,28.34,148.30,122,12.61,186.90,121,8.41,10.10,3,2.73,3,0
AL,118,510,391-8027,1,0,0,223.40,98,37.98,220.60,101,18.75,203.90,118,9.18,6.30,6,1.70,0,0
MA,121,510,355-9993,0,1,24,218.20,88,37.09,348.50,108,29.62,212.60,118,9.57,7.50,7,2.03,3,0
MO,147,415,329-9001,1,0,0,157.00,79,26.69,103.10,94,8.76,211.80,96,9.53,7.10,6,1.92,0,0
LA,117,408,335-4719,0,0,0,184.50,97,31.37,351.60,80,29.89,215.80,90,9.71,8.70,4,2.35,1,0
WV,141,415,330-8173,1,1,37,258.60,84,43.96,222.00,111,18.87,326.40,97,14.69,11.20,5,3.02,0,0
IN,65,415,329-6603,0,0,0,129.10,137,21.95,228.50,83,19.42,208.80,111,9.40,12.70,6,3.43,4,1
RI,74,415,344-9403,0,0,0,187.70,127,31.91,163.40,148,13.89,196.00,94,8.82,9.10,5,2.46,0,0
IA,168,408,363-1107,0,0,0,128.80,96,21.90,104.90,71,8.92,141.10,128,6.35,11.20,2,3.02,1,0
MT,95,510,394-8006,0,0,0,156.60,88,26.62,247.60,75,21.05,192.30,115,8.65,12.30,5,3.32,3,0
IA,62,415,366-9238,0,0,0,120.70,70,20.52,307.20,76,26.11,203.00,99,9.14,13.10,6,3.54,4,0
NY,161,415,351-7269,0,0,0,332.90,67,56.59,317.80,97,27.01,160.60,128,7.23,5.40,9,1.46,4,1
ID,85,408,350-8884,0,1,27,196.40,139,33.39,280.90,90,23.88,89.30,75,4.02,13.80,4,3.73,1,0
VT,93,510,386-2923,0,0,0,190.70,114,32.42,218.20,111,18.55,129.60,121,5.83,8.10,3,2.19,3,0
VA,76,510,356-2992,0,1,33,189.70,66,32.25,212.80,65,18.09,165.70,108,7.46,10.00,5,2.70,1,0
TX,73,415,373-2782,0,0,0,224.40,90,38.15,159.50,88,13.56,192.80,74,8.68,13.00,2,3.51,1,0
FL,147,415,396-5800,0,0,0,155.10,117,26.37,239.70,93,20.37,208.80,133,9.40,10.60,4,2.86,0,0
CO,77,408,393-7984,0,0,0,62.40,89,10.61,169.90,121,14.44,209.60,64,9.43,5.70,6,1.54,5,1
AZ,130,415,358-1958,0,0,0,183.00,112,31.11,72.90,99,6.20,181.80,78,8.18,9.50,19,2.57,0,0
SC,111,415,350-2565,0,0,0,110.40,103,18.77,137.30,102,11.67,189.60,105,8.53,7.70,6,2.08,2,0
VA,132,510,343-4696,0,0,0,81.10,86,13.79,245.20,72,20.84,237.00,115,10.67,10.30,2,2.78,0,0
NE,174,415,331-3698,0,0,0,124.30,76,21.13,277.10,112,23.55,250.70,115,11.28,15.50,5,4.19,3,0
WY,57,408,357-3817,0,1,39,213.00,115,36.21,191.10,112,16.24,182.70,115,8.22,9.50,3,2.57,0,0
