STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS|3200.0||382-4657||||265.1||1126.75|197.4|99.0|16.78||91.0||250.0|3.0||1.0|0
|107.0||371-7191|0.0|||8080.0|||||16.62|||1145.0|13.7|3.0|3.7|1.0|0
NJ|137.0|415.0|358-1921|||0.0|12170.0||||-2750.0||162.6|104.0||||164.5|0.0|0
9|84.0|9.0|375-9999||0.0|0.0|7484.999999999999||50.9|61.9|88.0||196.9|-2225.0||660.0|7.0|89.0||0
OK|-1875.0||330-6626|1.0||||113.0|1417.0||12200.0|||121.0|8.41|252.5|150.0|2.73|75.0|0
AL|-2950.0||391-8027||0.0|-0.0|223.4|2450.0|37.98|11030.0|5050.0||5097.5|5900.0|9.18||||0.0|0
|121.0|9.0|355-9993|||24.0|10910.0|88.0|37.09||108.0|2962.0|||-239.25|||||0
MO||9.0|329-9001|1.0|9.0|||3950.0|26.69|103.1|4700.0|8.76|21180.0|96.0|||6.0|-48.0|0.0|0
|||335-4719|9.0|9.0|0.0|9225.0|-2425.0|31.37|351.6|8000.0|1494.5||2250.0|485.50000000000006|8.7|||1.0|0
WV|||330-8173||||258.6||43.96||111.0|18.87||2425.0||11.2||3.02|0.0|0
|1625.0||329-6603||0.0|||3425.0|1097.5|228.5|83.0|-485.50000000000006|208.8|111.0|470.0||-150.0|85.75||1
RI|74.0|9.0|344-9403|9.0||0.0|4692.5||3191.0|163.4|148.0|13.89||2350.0||||2.46||0
|168.0|408.0|363-1107||9.0|0.0||2400.0|547.5|104.9|7100.0|||3200.0||280.0|200.0|3.02|1.0|0
MT|-2375.0||394-8006|9.0||0.0||88.0||247.6|75.0|526.25|4807.5|5750.0|-216.25||250.0|3.32|-75.0|0
IA||415.0|366-9238|0.0||||70.0|2052.0|307.2|||203.0|99.0|9.14|13.1|6.0|3.54|100.0|0
NY|161.0||351-7269|0.0|0.0||||5659.0|||-675.25||12800.0||5.4|9.0|73.0|4.0|1
9|85.0|9.0|350-8884||9.0|27.0|196.4|139.0||280.9|2250.0|||1875.0|200.99999999999997|||||0
VT|93.0|510.0|386-2923|0.0|0.0||190.7|5700.0|||-2775.0|18.55|6480.0|3025.0|291.5|202.5||219.0||0
|7600.0||356-2992|0.0|1.0|1650.0|||32.25|-5320.0|6500.0|18.09|16570.0|108.0|||5.0|2.7|1.0|0
TX||415.0|373-2782|0.0|||224.4|90.0||159.5|||192.8|1850.0|||-50.0|3.51|1.0|0
FL|||396-5800||0.0||155.1||26.37|239.7||1018.5|208.8|133.0|||100.0|2.86||0
9|7700.0|408.0|393-7984|0.0|0.0|0.0||4450.0|10.61||121.0|722.0|5240.0||471.5|285.0||154.0|5.0|1
AZ|13000.0|9.0|358-1958||||18300.0|11200.0|-777.75|1822.5000000000002|||181.8|78.0|8.18||475.0||-0.0|0
9|||350-2565|9.0|0.0|0.0||103.0|18.77||||||8.53|7.7|6.0|104.0||0
VA||510.0|343-4696|0.0|||81.1||13.79|6130.0|72.0|20.84|-5925.0||10.67|||2.78|0.0|0
9||9.0|331-3698|0.0|0.0|0.0|124.3||21.13|277.1|11200.0|23.55|250.7||11.28|775.0|5.0|209.50000000000003||0
|57.0||357-3817|0.0|1.0|3900.0||115.0||||16.24|182.7||205.50000000000003|||64.25|0.0|0
MT|-1350.0|408.0|418-6412|0.0||-0.0|||22.83|-3887.5||13.22|102.1||4.59|14.7|||300.0|0
MO|500.0||353-2630|9.0|0.0|0.0|||-807.4999999999999|258.2|84.0|1097.5|18150.0|102.0||6.3|||0.0|0
HI|||410-7789|0.0|0.0||-2982.5||20.28||-2725.0|914.0|178.7||||1.0||25.0|0
IL||415.0|416-8428|0.0||0.0|84.8||||||6262.5||11.27|14.2||3.83||0
||510.0|370-3359||0.0|0.0||||20150.0|107.0|||98.0|554.0|-257.5|5.0|-69.5||0
9|172.0|9.0|383-1121|9.0|0.0|0.0|212.0||36.04||||29330.0|3900.0||315.0||||0
|12.0|408.0|360-1596|0.0||-0.0|24960.0|||-6310.0|||||12.61||75.0|||1
9|57.0|408.0|395-2854|0.0||25.0||||9750.0||16.58|213.5|116.0|9.61|8.3||112.00000000000001|0.0|0
GA|72.0||362-1407|9.0|1.0|3700.0||80.0|1870.0|217.3|102.0|18.47|7640.000000000001|71.0|6.88|735.0||3.97|3.0|0
AK|-900.0||341-9764|||||128.0|24.87|||||109.0|5.82|725.0|6.0||0.0|0
9||415.0|353-3305|||0.0|-3270.0000000000005|||||475.25000000000006|11390.0||512.5|10.0|||1.0|0
|136.0||402-1381|1.0|1.0|3300.0|20390.0|106.0|34.66||||5085.0|5350.0|-114.5||150.0|-71.0||0
NJ|149.0||332-9891||9.0||||||2300.0|-577.5|188.3|-2700.0|8.47|11.1||300.0|-25.0|0
|98.0||372-9976|0.0|0.0|||2550.0|21.47|166.8|85.0|709.0|18780.0||8.45|9.4|2.0||3.0|0
9|135.0|9.0|383-6029|9.0||41.0|173.1|85.0||203.9||17.33|||550.0|14.6|15.0|3.94||1
9|34.0|510.0|353-7289|||0.0|124.8|82.0|-530.5|282.2|4900.0||311.5|||10.0|-100.0|2.7||0
|160.0|9.0|390-7274|0.0||||7700.0|14.59||110.0|14.05|178.5||8.03||||300.0|0
WI||510.0|352-1237||0.0|0.0|||26.18|22580.0|-2950.0|19.19|||||3.0|||0
OR|59.0||353-3061||9.0|1400.0|-3022.5|97.0|||92.0|||116.0|183.5|-212.5||2.3||0
|||363-5450|0.0||0.0|211.3|6000.0|||122.0||134.7||6.06|13.2|5.0|356.0|150.0|0
|142.0|408.0|364-1995|9.0|9.0|0.0|187.0|||||572.0|||10.9|||||0
