STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
9|-2560.0||382-4657||1.0||10604.0||45.07||99.0||244.7|1820.0|11.01||3.0|2.7|1.0|0
9|||371-7191|0.0||520.0|||27.47|195.5|103.0|||8240.0||||3.7||0
||9.0|358-1921||9.0||19472.0|9120.0|||||13008.0||7.32||-100.0|3.29|0.0|0
|1680.0||375-9999|9.0|9.0||||2036.0||88.0|||3560.0|8.86||140.0||2.0|0
OK|75.0||330-6626||0.0||166.7|113.0|566.8||122.0|12.61||-2420.0|||3.0|||0
|118.0||391-8027|||||98.0||220.6|101.0||||||||0.0|0
|121.0||355-9993||1.0||218.2|||||||-2360.0||||-40.599999999999994||0
|||329-9001|1.0|9.0|||-1580.0|26.69|103.1|||8472.0|96.0|9.53||120.0|||0
|||335-4719|0.0|9.0|0.0||97.0|31.37|||||90.0|9.71|||||0
9||415.0|330-8173|||37.0|258.6||||111.0|||97.0|14.69|11.2|||0.0|0
9|65.0|415.0|329-6603|0.0|||129.1|10960.0|21.95|228.5|1660.0|19.42||||12.7||||1
RI|74.0|9.0|344-9403|0.0|0.0||187.7||31.91||148.0|13.89|196.0|||9.1|5.0|98.4||0
IA||9.0|363-1107|0.0|0.0|||96.0|1752.0|8392.0|71.0|8.92|||6.35||80.0|3.02||0
9||510.0|394-8006||9.0||156.6|7040.0||247.6|75.0|21.05|||346.0||200.0|||0
IA|||366-9238|9.0||0.0||||307.2|76.0|26.11|203.0|99.0||262.0|120.0|3.54|4.0|0
|12880.0||351-7269||0.0||332.9||||97.0||12848.0|128.0||||-29.2||1
9||408.0|350-8884||1.0|||||22472.0||955.1999999999999||75.0||||74.6||0
9|3720.0||386-2923||9.0||-3814.0|9120.0|32.42|||18.55|-2592.0|||8.1|120.0|||0
||510.0|356-2992||||3794.0||32.25|212.8|65.0|723.6|165.7|4320.0|||5.0|-54.0||0
9|-1460.0|415.0|373-2782|9.0|0.0|0.0||3600.0|||||192.8|||520.0|-40.0|3.51||0
|147.0||396-5800|0.0||0.0|155.1||-527.4|239.7|||4176.0||9.4||||0.0|0
|77.0|9.0|393-7984||0.0|0.0|||||121.0|14.44|8384.0|64.0|||-120.0||5.0|1
9|||358-1958||9.0|0.0||112.0|||3960.0||181.8|78.0|-163.6||19.0|2.57|0.0|0
SC||415.0|350-2565||9.0||||1501.6|||11.67||105.0|8.53||||2.0|0
VA|132.0|510.0|343-4696||0.0||1622.0||-275.79999999999995|245.2||20.84|4740.0|-2300.0|-213.4|10.3|2.0||0.0|0
NE|-3480.0|9.0|331-3698|0.0||0.0|9944.0|6080.0|21.13||112.0||-5014.0|115.0|-225.6|15.5||-83.80000000000001||0
9|2280.0|9.0|357-3817|||39.0|213.0||||112.0|1299.1999999999998|182.7|115.0||||102.8|0.0|0
|54.0||418-6412|0.0|0.0|0.0|134.3|73.0|22.83|155.5|100.0|13.22|-2042.0||4.59|||3.97||0
MO|||353-2630|9.0|||190.0|109.0|||84.0||||163.4||6.0||0.0|0
9|49.0||410-7789|9.0|0.0|||9360.0||-4302.0|109.0|||7200.0||11.1||||0
