STAN|CZAS_POSIADANIA|KOD_OBSZARU|NR_TEL|PLAN_MIEDZY|POCZTA_G|L_WIAD_POCZTA_G|DZIEN_MIN|DZIEN_L_POL|DZIEN_OPLATA|WIECZOR_MIN|WIECZ_L_POL|WIECZ_OPLATA|NOC_MIN|NOC_L_POL|NOC_OPLATA|MIEDZY_MIN|MIEDZY_L_POL|MIEDZY_OPLATA|L_POL_BIURO|REZYGN
KS|||382-4657||1.0||-6627.500000000001|11000.0|2253.5||4950.0||6117.5|9100.0|-275.25||3.0|2.7|100.0|0
||415.0|371-7191|||||123.0||9775.0|||12720.0|||13.7|3.0|||0
NJ||9.0|358-1921||9.0||243.4|||||257.5||||610.0|125.0|82.25|0.0|0
||9.0|375-9999|||0.0|||-1272.5|-1547.5|-2200.0|||89.0|443.0|||||0
OK|75.0||330-6626|1.0|0.0|-0.0|4167.5|11300.0|708.5||122.0|315.25||121.0|||3.0|2.73|3.0|0
|118.0||391-8027|||||-2450.0|1898.9999999999998||101.0||||||150.0|||0
|12100.0||355-9993|||24.0||||348.5|10800.0|29.62|-5315.0||||||3.0|0
9|||329-9001|||||79.0|26.69|||438.0||96.0|9.53|||-48.0||0
9|-2925.0||335-4719|9.0||0.0||2425.0|3137.0|351.6|||21580.0|9000.0|485.50000000000006|||||0
|141.0||330-8173|||||84.0||||-471.75||||||-75.5|0.0|0
|||329-6603||||-3227.5||||||||||300.0|3.43||1
||9.0|344-9403|||||||4085.0|148.0|||||-227.5||246.0|0.0|0
IA|168.0|9.0|363-1107|0.0|0.0|0.0||||||||128.0||-280.0||||0
9|||394-8006|||0.0|||2662.0|||||||||||0
|||366-9238||9.0||120.7||-513.0|307.2|76.0||||||6.0|||0
9|161.0||351-7269|0.0|||332.9||1414.75|-7945.0|||||180.75||450.0|1.46|-100.0|1
ID|||350-8884||9.0|2700.0||||28089.999999999996|||2232.5|75.0|200.99999999999997||200.0||-25.0|0
|||386-2923|0.0||0.0|4767.5||810.5|||||||||219.0||0
|||356-2992|9.0|||4742.5|||||452.25|8285.0|||250.0||||0
9|-1825.0|9.0|373-2782|||0.0|5610.0||38.15|||1356.0|19280.0||217.0|||175.5|25.0|0
|||396-5800|9.0|9.0|||11700.0|1318.5||93.0|20.37|10440.0|||-265.0|||0.0|0
|77.0||393-7984|||||89.0||||14.44|||||300.0|77.0||1
9|||358-1958||9.0||||||2475.0||181.8|||9.5|||-0.0|0
||415.0|350-2565|9.0|9.0|||||137.3|||||213.24999999999997|7.7|600.0||2.0|0
